departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
2;1;0;0;2011;2;1
2;3;0;1;2011;2;2
2;4;1;14;2011;2;3
2;1;1;2;2011;2;4
3;0;0;0;2011;2;1
3;2;1;1;2011;2;2
3;3;3;3;2011;2;3
3;3;3;30;2011;2;4
5;3;0;0;2011;2;1
5;7;1;5;2011;2;2
5;0;1;3;2011;2;3
5;0;1;3;2011;2;4
6;3;0;0;2011;2;1
6;7;1;1;2011;2;2
6;0;0;0;2011;2;3
6;0;3;2;2011;2;4
16;0;0;0;2011;2;1
16;5;0;3;2011;2;2
16;0;0;6;2011;2;3
16;0;0;1;2011;2;4
17;0;0;0;2011;2;1
17;1;0;4;2011;2;2
17;1;0;26;2011;2;3
17;0;1;6;2011;2;4
7;0;0;0;2011;2;1
7;4;0;2;2011;2;2
7;3;3;6;2011;2;3
7;2;1;6;2011;2;4
8;1;0;0;2011;2;1
8;2;1;1;2011;2;2
8;2;2;20;2011;2;3
8;0;0;0;2011;2;4
9;1;0;0;2011;2;1
9;2;0;2;2011;2;2
9;1;0;10;2011;2;3
9;0;0;1;2011;2;4
10;0;0;0;2011;2;1
10;5;0;3;2011;2;2
10;0;0;1;2011;2;3
10;0;0;6;2011;2;4
11;1;0;1;2011;2;1
11;10;1;1;2011;2;2
11;0;0;0;2011;2;3
11;0;0;1;2011;2;4
12;1;0;0;2011;2;1
12;2;0;0;2011;2;2
12;3;1;1;2011;2;3
12;0;1;0;2011;2;4
13;5;0;1;2011;2;1
13;8;1;6;2011;2;2
13;3;0;23;2011;2;3
13;0;0;38;2011;2;4
14;2;0;0;2011;2;1
14;3;0;6;2011;2;2
14;1;2;6;2011;2;3
14;0;3;3;2011;2;4
15;1;0;0;2011;2;1
15;4;0;0;2011;2;2
15;2;0;2;2011;2;3
15;0;0;1;2011;2;4
18;4;0;1;2011;2;1
18;6;3;2;2011;2;2
18;2;0;0;2011;2;3
18;0;0;4;2011;2;4
19;5;0;0;2011;2;1
19;4;0;3;2011;2;2
19;1;0;3;2011;2;3
19;0;1;8;2011;2;4
20;0;0;0;2011;2;1
20;21;0;6;2011;2;2
20;4;2;13;2011;2;3
20;0;1;12;2011;2;4
21;5;0;0;2011;2;1
21;6;2;0;2011;2;2
21;0;0;6;2011;2;3
21;0;0;4;2011;2;4
28;3;0;0;2011;2;1
28;3;0;2;2011;2;2
28;1;0;3;2011;2;3
28;1;0;3;2011;2;4
29;0;0;0;2011;2;1
29;4;0;0;2011;2;2
